[2025-06-11 14:38:56] Round 1 | Side: right | Captured: 1 | Reward: False | SlowFactor: 0.2 | Growth: 0.15 | right_MaxProb: 0.7 | Swapped: True
[2025-06-11 14:38:57] Round 2 | Side: right | Captured: 4 | Reward: True | SlowFactor: 0.2 | Growth: 0.15 | right_MaxProb: 0.7 | Swapped: False
[2025-06-11 14:38:59] Round 3 | Side: right | Captured: 3 | Reward: True | SlowFactor: 0.2 | Growth: 0.15 | right_MaxProb: 0.7 | Swapped: False
[2025-06-11 14:39:01] Round 4 | Side: right | Captured: 6 | Reward: True | SlowFactor: 1 | Growth: 0.25 | right_MaxProb: 0.9 | Swapped: True
[2025-06-11 14:39:04] Round 5 | Side: right | Captured: 2 | Reward: True | SlowFactor: 1 | Growth: 0.25 | right_MaxProb: 0.9 | Swapped: False
[2025-06-11 14:39:05] Round 6 | Side: right | Captured: 4 | Reward: True | SlowFactor: 0.2 | Growth: 0.15 | right_MaxProb: 0.7 | Swapped: True
[2025-06-11 14:39:07] Round 7 | Side: right | Captured: 6 | Reward: True | SlowFactor: 0.2 | Growth: 0.15 | right_MaxProb: 0.7 | Swapped: False
[2025-06-11 14:39:09] Round 8 | Side: right | Captured: 4 | Reward: False | SlowFactor: 1 | Growth: 0.25 | right_MaxProb: 0.9 | Swapped: True
[2025-06-11 14:39:10] Round 9 | Side: right | Captured: 2 | Reward: True | SlowFactor: 1 | Growth: 0.25 | right_MaxProb: 0.9 | Swapped: False
[2025-06-11 14:39:11] Round 10 | Side: right | Captured: 4 | Reward: False | SlowFactor: 0.2 | Growth: 0.15 | right_MaxProb: 0.7 | Swapped: True
